loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.016582731157541275,0.10102599859237671,0.016538498923182487,0.020314492285251617,0.11675012856721878,0.020314490422606468,0.0010000000474974513
0.015664977952837944,0.098358653485775,0.015625236555933952,0.018422579392790794,0.10984066128730774,0.018422570079565048,0.0010000000474974513
0.015477491542696953,0.09793222695589066,0.015438650734722614,0.017483295872807503,0.1042976975440979,0.017483294010162354,0.0010000000474974513
0.015420625917613506,0.09760728478431702,0.0153803126886487,0.01990916021168232,0.11693544685840607,0.01990913599729538,0.0010000000474974513
0.015455380082130432,0.0977669507265091,0.015415402129292488,0.0187004916369915,0.11141946911811829,0.0187004916369915,0.0010000000474974513
0.015327874571084976,0.09733927994966507,0.015287244692444801,0.017199432477355003,0.10484775900840759,0.017199426889419556,0.0010000000474974513
0.015284834429621696,0.09725051373243332,0.015243638306856155,0.018103769049048424,0.10972411930561066,0.01810375601053238,0.0010000000474974513
0.01521982066333294,0.09684612601995468,0.015178562141954899,0.01687648519873619,0.10311862081289291,0.016876479610800743,0.0010000000474974513
0.015330860391259193,0.09730172902345657,0.015290491282939911,0.017262155190110207,0.10579068213701248,0.017262142151594162,0.0010000000474974513
0.015228472650051117,0.09697237610816956,0.015188243240118027,0.017121946439146996,0.10236342251300812,0.017121942713856697,0.0010000000474974513
0.015266341157257557,0.09717988222837448,0.015225796960294247,0.016902031376957893,0.10296788811683655,0.016902029514312744,0.0010000000474974513
0.01522798277437687,0.09707862138748169,0.01518707349896431,0.017188074067234993,0.10238392651081085,0.017188074067234993,0.0010000000474974513
0.015240713022649288,0.09702758491039276,0.015200849622488022,0.017527751624584198,0.10319427400827408,0.017527751624584198,0.0010000000474974513
0.01522001065313816,0.09694849699735641,0.01518041081726551,0.017471138387918472,0.10278280079364777,0.017471138387918472,0.0010000000474974513
0.01521547231823206,0.09694121032953262,0.01517559215426445,0.01740475744009018,0.10538109391927719,0.01740475557744503,0.0010000000474974513
0.01515718549489975,0.09678566455841064,0.01511639915406704,0.017174042761325836,0.10296783596277237,0.017174040898680687,0.0010000000474974513
0.015201769769191742,0.0969216525554657,0.01516071055084467,0.017165035009384155,0.10499676316976547,0.01716502383351326,0.0010000000474974513
0.015146343037486076,0.09683291614055634,0.015105647966265678,0.017618954181671143,0.10510170459747314,0.017618954181671143,0.0010000000474974513
0.014974045567214489,0.09613955765962601,0.014932433143258095,0.017016133293509483,0.10295047610998154,0.017016129568219185,0.0005000000237487257
0.014889524318277836,0.09585626423358917,0.01484629325568676,0.017370758578181267,0.1033543050289154,0.01737075485289097,0.0005000000237487257
0.014920786954462528,0.09596520662307739,0.014876539818942547,0.016842039301991463,0.10225504636764526,0.016842037439346313,0.0005000000237487257
0.014901386573910713,0.09588070213794708,0.01485839206725359,0.017171835526823997,0.10393676161766052,0.01717182993888855,0.0005000000237487257
0.014887859113514423,0.09574730694293976,0.014843473210930824,0.017435459420084953,0.10388439148664474,0.017435459420084953,0.0005000000237487257
0.014867465943098068,0.09568127989768982,0.014823139645159245,0.017168261110782623,0.10305900126695633,0.017168261110782623,0.0005000000237487257
0.014819640666246414,0.09552865475416183,0.014774458482861519,0.016632188111543655,0.10199154913425446,0.01663215644657612,0.0005000000237487257
0.014849373139441013,0.09565085917711258,0.0148044778034091,0.017331182956695557,0.10460315644741058,0.01733117736876011,0.0005000000237487257
0.014799514785408974,0.09544955939054489,0.014754241332411766,0.01679353415966034,0.10321830958127975,0.016793519258499146,0.0005000000237487257
0.01481223851442337,0.0954417809844017,0.014766303822398186,0.01633063517510891,0.10099583864212036,0.01633060723543167,0.0005000000237487257
0.014774327166378498,0.09530031681060791,0.014728004112839699,0.01701265573501587,0.10332158207893372,0.017012638971209526,0.0005000000237487257
0.014753447845578194,0.09532152861356735,0.014706764370203018,0.017765995115041733,0.10534397512674332,0.017765991389751434,0.0005000000237487257
0.014728567562997341,0.09523645043373108,0.014681647531688213,0.017232587561011314,0.10442370176315308,0.01723257452249527,0.0005000000237487257
0.014707022346556187,0.09511040151119232,0.01466013677418232,0.01717064529657364,0.10418231040239334,0.0171706173568964,0.0005000000237487257
0.01480381190776825,0.09545698016881943,0.014758121222257614,0.0169877540320158,0.10359930992126465,0.01698772981762886,0.0005000000237487257
0.014718468300998211,0.09518827497959137,0.014671768993139267,0.017019422724843025,0.10288132727146149,0.01701940782368183,0.0005000000237487257
0.014753221534192562,0.09527329355478287,0.014706564135849476,0.017471712082624435,0.10385427623987198,0.017471710219979286,0.0005000000237487257
0.014672640711069107,0.09492288529872894,0.014625268056988716,0.0169045552611351,0.10502760857343674,0.01690443605184555,0.0005000000237487257
0.014686650596559048,0.09495308250188828,0.014638792723417282,0.016579333692789078,0.1032104343175888,0.016579249873757362,0.0005000000237487257
0.014722312800586224,0.09511347860097885,0.014674270525574684,0.016774050891399384,0.10259893536567688,0.016774030402302742,0.0005000000237487257
0.014611857943236828,0.09469889104366302,0.014564127661287785,0.016867918893694878,0.10398538410663605,0.016867883503437042,0.0002500000118743628
0.01455792598426342,0.09454493224620819,0.014509429223835468,0.017442971467971802,0.10596922785043716,0.017442947253584862,0.0002500000118743628
0.014594965614378452,0.09470828622579575,0.014546515420079231,0.01653818041086197,0.10267346352338791,0.016538120806217194,0.0002500000118743628
0.014592336490750313,0.09463702142238617,0.014543495140969753,0.016666637733578682,0.10326414555311203,0.0166665930300951,0.0002500000118743628
0.014563126489520073,0.09445091336965561,0.014515033923089504,0.016386909410357475,0.10184741020202637,0.016386859118938446,0.0002500000118743628
0.014560043811798096,0.09449639171361923,0.014511212706565857,0.017068026587367058,0.10388967394828796,0.017068009823560715,0.0002500000118743628
0.0145447738468647,0.0944327786564827,0.014494876377284527,0.016397077590227127,0.1025581955909729,0.01639700122177601,0.0002500000118743628
0.014592425897717476,0.09454892575740814,0.014543192461133003,0.016703177243471146,0.10247473418712616,0.016703136265277863,0.0002500000118743628
0.014549619518220425,0.09440642595291138,0.01450015977025032,0.01681523211300373,0.10243339091539383,0.016815194860100746,0.0002500000118743628
0.014525176957249641,0.09442006796598434,0.01447536051273346,0.01658163219690323,0.10202328115701675,0.0165815819054842,0.0002500000118743628
